Player,Position,Minutes played,Aerial duels,Aerial duels accuracy,Aerial duels won,Assists,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Crosses,Crosses accuracy,Crosses accurate,Defensive duels,Defensive duels accuracy,Defensive duels won,Dribbles,Dribbles accuracy,Dribbles successful,Duels,Duels accuracy,Duels won,Exits,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Fouls suffered,Goal kicks,Goals,Interceptions,Long goal kicks,Long pass accuracy,Long passes,Long passes accurate,Long passes percentage,Loose ball duels,Loose ball duels accuracy,Loose ball duels won,Losses,Losses own half,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,Pass accuracy,Passes,Passes accurate,Passes to GK,Passes to GK accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Passes to penalty area,Passes to penalty area accuracy,Passes to penalty area accurate,Progressive runs,Received passes,Recoveries,Recoveries opp. half,Red card,Red cards,Saves,Saves with reflexes,Second assists,Short goal kicks,Shot accuracy,Shot assists,Shots,Shots against,Shots on target,Sliding tackles,Sliding tackles accuracy,Sliding tackles successful,Through pass accuracy,Through passes,Through passes accurate,Total actions,Total actions successful,Touches in penalty area,Yellow card,Yellow cards,xA,xCG,xG
Allen,MID,1894,50,0.36,18,4,144,0.875,126,0.18997361477572558,8,0,34,0.4117647058823529,14,172,0.5930232558139535,102,70,0.5714285714285714,40,550,0.4509090909090909,248,0,178,0.7415730337078652,132,0.23482849604221637,38,48,0,8,62,0,0.5714285714285714,42,24,0.055408970976253295,88,0.4318181818181818,38,244,50,240,0.375,90,0,0.8443271767810027,758,640,6,6,114,0.7894736842105263,90,0.1503957783641161,56,0.42857142857142855,24,12,482,126,88,0,0,0,0,0,0,0.5333333333333333,36,30,0,16,10,0.2,2,0.25,16,4,1592,926,26,0,0,4.72,0.0,6.48
Arens,ATT,465,40,0.275,11,0,31,0.8064516129032258,25,0.36904761904761907,0,0,7,0.0,0,35,0.6,21,26,0.46153846153846156,12,188,0.324468085106383,61,0,14,0.8571428571428571,12,0.16666666666666666,12,9,0,0,12,0,,0,0,0.0,27,0.2962962962962963,8,76,8,86,0.2441860465116279,21,2,0.7738095238095238,84,65,1,1,4,0.5,2,0.047619047619047616,4,0.0,0,16,49,18,8,0,0,0,0,1,0,0.42857142857142855,0,7,0,3,1,0.0,0,,0,0,354,137,9,169,2,0.0,0.0,0.41
Carvalho,ATT,1108,107,0.34579439252336447,37,3,69,0.8695652173913043,60,0.27710843373493976,5,0,26,0.34615384615384615,9,49,0.6122448979591837,30,48,0.625,30,388,0.39948453608247425,155,0,34,0.5882352941176471,20,0.13654618473895583,14,32,0,3,15,0,0.46153846153846156,13,6,0.05220883534136546,62,0.24193548387096775,15,174,27,170,0.4294117647058823,73,4,0.7630522088353414,249,190,0,0,23,0.6956521739130435,16,0.09236947791164658,25,0.48,12,19,152,31,21,0,0,0,0,0,0,0.6086956521739131,6,23,0,14,0,,0,0.6,5,3,811,367,37,0,0,0.63,0.0,3.95
Gibson,DEF,975,12,0.3333333333333333,4,0,40,0.85,34,0.12539184952978055,4,0,19,0.3684210526315789,7,63,0.5714285714285714,36,29,0.5517241379310345,16,152,0.5131578947368421,78,0,175,0.6971428571428572,122,0.54858934169279,9,19,0,0,46,0,0.40625,32,13,0.10031347962382445,17,0.5294117647058824,9,99,41,60,0.48333333333333334,29,0,0.7335423197492164,319,234,3,3,64,0.703125,45,0.2006269592476489,22,0.45454545454545453,10,11,189,83,30,54,1,0,0,0,0,0.5,1,2,0,1,5,0.2,1,0.0,4,0,542,329,3,113,2,0.39,0.0,0.47
Hagan,MID,384,22,0.36363636363636365,8,1,24,0.9166666666666666,22,0.27906976744186046,1,0,1,0.0,0,16,0.5,8,6,0.3333333333333333,2,94,0.2978723404255319,28,0,17,0.6470588235294118,11,0.19767441860465115,10,5,0,0,11,0,0.5,4,2,0.046511627906976744,21,0.2857142857142857,6,49,9,35,0.17142857142857143,6,5,0.8023255813953488,86,69,0,0,12,0.6666666666666666,8,0.13953488372093023,4,0.5,2,0,51,22,15,0,0,0,0,1,0,0.5,1,6,0,3,1,0.0,0,,0,0,231,101,10,34,1,0.03,0.0,1.24
Iribarren,MID,1374,122,0.5491803278688525,67,0,54,0.9814814814814815,53,0.13670886075949368,24,0,6,0.16666666666666666,1,88,0.625,55,22,0.5,11,348,0.5201149425287356,181,0,132,0.6742424242424242,89,0.3341772151898734,22,29,0,9,67,0,0.6052631578947368,38,23,0.09620253164556962,54,0.4444444444444444,24,167,61,84,0.4166666666666667,35,1,0.7721518987341772,395,305,4,4,72,0.6388888888888888,46,0.18227848101265823,12,0.5,6,5,222,131,51,0,0,0,0,1,0,0.4146341463414634,2,41,0,17,2,0.0,0,0.75,4,3,893,515,39,167,2,0.43000000000000005,0.0,5.85
Jacobus,MID,988,15,0.2,3,1,55,0.8181818181818182,45,0.1724137931034483,12,0,19,0.5263157894736842,10,83,0.5421686746987951,45,28,0.6071428571428571,17,186,0.46774193548387094,87,0,135,0.725925925925926,98,0.4231974921630094,10,5,0,1,37,0,0.44,25,11,0.07836990595611286,26,0.3076923076923077,8,97,39,62,0.5,31,1,0.7711598746081505,319,246,2,2,45,0.6666666666666666,30,0.14106583072100312,25,0.48,12,28,210,68,27,0,0,0,0,0,0,0.4,14,5,0,2,4,0.0,0,0.3333333333333333,3,1,605,348,13,0,0,1.6,0.0,0.21
Kawamura,MID,1466,56,0.39285714285714285,22,0,91,0.945054945054945,86,0.18346774193548387,12,0,3,0.3333333333333333,1,143,0.6013986013986014,86,24,0.4583333333333333,11,334,0.5,167,0,169,0.7337278106508875,124,0.3407258064516129,22,22,0,0,75,0,0.5882352941176471,51,30,0.1028225806451613,59,0.5084745762711864,30,132,54,76,0.3815789473684211,29,0,0.8266129032258065,496,410,3,3,80,0.6625,53,0.16129032258064516,14,0.2857142857142857,4,7,255,187,69,0,0,0,0,0,0,0.2,2,10,0,2,7,0.2857142857142857,2,0.3333333333333333,6,2,963,595,12,159,3,0.08,0.0,1.65
Kim,MID,576,16,0.3125,5,1,27,0.8148148148148148,22,0.2288135593220339,3,0,25,0.24,6,67,0.44776119402985076,30,35,0.6285714285714286,22,166,0.463855421686747,77,0,27,0.48148148148148145,13,0.2288135593220339,13,13,0,1,12,0,0.0,4,0,0.03389830508474576,11,0.36363636363636365,4,86,18,72,0.5277777777777778,38,2,0.576271186440678,118,68,0,0,12,0.3333333333333333,4,0.1016949152542373,18,0.3888888888888889,7,23,86,29,17,0,0,0,0,0,0,0.3333333333333333,6,6,0,2,1,0.0,0,0.5,2,1,366,156,15,67,1,1.48,0.0,0.55
Lin,MID,272,8,0.25,2,0,13,0.8461538461538461,11,0.14444444444444443,13,0,2,1.0,2,20,0.75,15,5,0.2,1,47,0.574468085106383,27,0,57,0.631578947368421,36,0.6333333333333333,3,1,0,0,15,0,0.6190476190476191,21,13,0.23333333333333334,9,0.6666666666666666,6,35,12,10,0.4,4,0,0.7,90,63,3,3,29,0.5862068965517241,17,0.32222222222222224,4,0.5,2,0,57,31,6,0,0,0,0,0,0,,0,0,0,0,2,1.0,2,1.0,1,1,165,93,0,168,2,0.0,0.0,0.0
McDonnell,DEF,591,14,0.7857142857142857,11,0,14,0.7142857142857143,10,0.07608695652173914,11,0,0,,0,33,0.8484848484848485,28,6,0.6666666666666666,4,70,0.6571428571428571,46,0,89,0.6629213483146067,59,0.483695652173913,0,3,0,0,30,0,0.5,30,15,0.16304347826086957,8,0.25,2,49,31,15,0.3333333333333333,5,0,0.7880434782608695,184,145,3,3,29,0.5172413793103449,15,0.15760869565217392,2,0.0,0,4,119,47,12,0,0,0,0,0,0,,0,0,0,0,1,1.0,1,0.0,3,0,289,195,1,58,1,0.0,0.0,0.0
McGee,MID,291,6,0.0,0,0,8,0.875,7,0.0963855421686747,3,0,19,0.42105263157894735,8,23,0.6521739130434783,15,27,0.6296296296296297,17,85,0.5411764705882353,46,0,31,0.6129032258064516,19,0.37349397590361444,1,10,0,0,4,0,0.25,8,2,0.0963855421686747,8,0.25,2,40,7,48,0.6041666666666666,29,1,0.6987951807228916,83,58,0,0,10,0.4,4,0.12048192771084337,19,0.3157894736842105,6,11,49,19,10,0,0,0,0,0,0,0.16666666666666666,2,6,0,1,0,,0,0.0,4,0,204,111,8,0,0,0.17,0.0,0.27999999999999997
Place,MID,603,20,0.3,6,0,29,0.8275862068965517,24,0.19333333333333333,3,0,22,0.2727272727272727,6,58,0.6206896551724138,36,30,0.43333333333333335,13,142,0.45774647887323944,65,0,49,0.7346938775510204,36,0.32666666666666666,7,8,0,0,23,0,0.5833333333333334,12,7,0.08,20,0.25,5,68,20,44,0.4090909090909091,18,0,0.72,150,108,0,0,18,0.7777777777777778,14,0.12,22,0.4090909090909091,9,7,110,39,18,0,0,0,0,1,0,0.14285714285714285,8,7,0,1,0,,0,0.0,1,0,358,180,10,155,2,1.81,0.0,0.8200000000000001
Redington,MID,1315,24,0.5,12,2,42,0.9285714285714286,39,0.1065989847715736,23,0,29,0.3103448275862069,9,77,0.4675324675324675,36,18,0.5555555555555556,10,180,0.4388888888888889,79,0,237,0.6497890295358649,154,0.6015228426395939,7,11,0,0,64,0,0.45054945054945056,91,41,0.23096446700507614,27,0.4074074074074074,11,159,51,52,0.38461538461538464,20,0,0.6903553299492385,394,272,4,4,97,0.5876288659793815,57,0.24619289340101522,36,0.2777777777777778,10,11,239,124,34,0,0,0,0,0,0,0.5,9,2,0,1,9,0.6666666666666666,6,0.25,4,1,648,359,1,206,3,1.7000000000000002,0.0,0.05
Shor,GK,224,2,1.0,2,0,0,,0,0.0,2,4,0,,0,0,,0,0,,0,3,1.0,3,3,33,0.8181818181818182,27,0.825,0,2,17,0,2,14,0.7692307692307693,26,20,0.65,1,1.0,1,12,2,0,,0,0,0.85,40,34,0,0,14,0.7142857142857143,10,0.35,0,,0,0,21,11,0,0,0,6,3,0,3,0.0,0,1,10,0,0,,0,,0,0,74,57,1,0,0,0.0,3.8100000000000005,0.17
Valverde,MID,961,5,0.2,1,1,79,0.9240506329113924,73,0.2323529411764706,3,0,25,0.56,14,47,0.5106382978723404,24,48,0.4791666666666667,23,169,0.40828402366863903,69,0,90,0.6333333333333333,57,0.2647058823529412,8,5,0,0,39,0,0.5142857142857142,35,18,0.10294117647058823,22,0.36363636363636365,8,112,17,95,0.37894736842105264,36,0,0.7647058823529411,340,260,1,1,44,0.5681818181818182,25,0.12941176470588237,31,0.7096774193548387,22,23,230,69,40,0,0,0,0,1,0,0.3333333333333333,18,15,0,5,0,,0,0.3333333333333333,6,2,653,353,17,0,0,1.75,0.0,0.88
Walker,DEF,1143,34,0.5,17,0,46,1.0,46,0.12672176308539945,15,0,1,0.0,0,44,0.5454545454545454,24,5,0.2,1,118,0.5338983050847458,63,0,189,0.6666666666666666,126,0.5206611570247934,7,6,0,0,45,0,0.5,76,38,0.209366391184573,23,0.7391304347826086,17,96,52,17,0.29411764705882354,5,1,0.7961432506887053,363,289,41,41,44,0.5454545454545454,24,0.12121212121212122,7,0.2857142857142857,2,2,193,116,7,0,0,0,0,1,0,,1,0,0,0,2,0.0,0,0.3333333333333333,3,1,553,371,1,39,1,0.0,0.0,0.0
Wellerstein,DEF,1486,83,0.5542168674698795,46,0,32,0.875,28,0.06956521739130435,48,0,0,,0,75,0.76,57,0,,0,220,0.6318181818181818,139,0,239,0.5774058577405857,138,0.5195652173913043,15,9,0,0,96,0,0.45384615384615384,130,59,0.2826086956521739,44,0.6363636363636364,28,153,70,18,0.4444444444444444,8,0,0.7260869565217392,460,334,20,20,94,0.4787234042553192,45,0.20434782608695654,10,0.0,0,3,239,198,11,0,0,0,0,0,0,0.42857142857142855,1,7,0,3,4,0.5,2,0.1,10,1,806,508,14,161,3,0.02,0.0,1.21
Wilson,GK,1276,5,0.8,4,0,0,,0,0.0,3,25,0,,0,6,0.6666666666666666,4,1,1.0,1,17,0.8235294117647058,14,12,184,0.6521739130434783,120,0.757201646090535,0,1,108,0,27,98,0.6089743589743589,156,95,0.6419753086419753,3,1.0,3,69,12,3,1.0,3,0,0.7242798353909465,243,176,0,0,68,0.6617647058823529,45,0.27983539094650206,2,1.0,2,0,110,62,0,0,0,41,23,0,10,,0,0,66,0,0,,0,,0,0,441,303,0,0,0,0.0,17.55,0.0
