Date,Match,Competition,Duration,Team,Scheme,Conceded goals,Shots against / on target,,,Defensive duels / won,,,Aerial duels / won,,,Sliding tackles / successful,,,Interceptions,Clearances,Fouls,Yellow cards,Red cards
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-4-2 (100.0%),0,2,2,100,21,10,47.62,6,2,33.33,2,1,50,16,1,3,0,0
2023-10-29,UC Irvine Anteaters - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,22,UC Irvine Anteaters,4-2-3-1 (100.0%),0,1,1,100,17,12,70.59,6,2,33.33,1,0,0,4,7,1,2,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC San Diego Tritons,4-4-2 (100.0%),0,0,0,0,11,6,54.55,16,5,31.25,0,0,0,0,1,3,1,0
2023-10-22,UC San Diego Tritons - UC Davis Aggies 1:2,United States. NCAA D1 Big West,20,UC Davis Aggies,4-1-3-2 (0.0%),1,1,1,100,22,11,50,16,9,56.25,0,0,0,17,10,7,0,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,UC San Diego Tritons,4-4-2 (100.0%),1,1,1,100,18,13,72.22,16,5,31.25,2,1,50,8,2,2,2,0
2023-10-19,CSUN Matadors - UC San Diego Tritons 2:1,United States. NCAA D1 Big West,23,CSUN Matadors,4-2-3-1 (100.0%),0,0,0,0,17,10,58.82,16,10,62.5,2,2,100,4,4,3,0,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,UC San Diego Tritons,4-4-2 (100.0%),0,1,1,100,16,4,25,13,8,61.54,2,0,0,12,1,9,2,0
2023-10-15,UC San Diego Tritons - CSU Bakersfield Roadrunners 1:0,United States. NCAA D1 Big West,25,CSU Bakersfield Roadrunners,4-2-3-1 (100.0%),1,3,3,100,19,16,84.21,13,3,23.08,2,1,50,6,2,3,1,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (100.0%),0,1,1,100,16,8,50,6,2,33.33,0,0,0,9,2,3,2,0
2023-10-12,UC Riverside Highlanders - UC San Diego Tritons 2:5,United States. NCAA D1 Big West,21,UC Riverside Highlanders,3-4-1-2 (0.0%),1,1,1,100,29,20,68.97,6,3,50,3,1,33.33,13,5,6,1,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,UC San Diego Tritons,4-4-2 (66.23%),1,1,1,100,18,9,50,14,7,50,2,1,50,4,1,1,0,0
2023-10-08,Cal Poly Mustangs - UC San Diego Tritons 3:1,United States. NCAA D1 Big West,21,Cal Poly Mustangs,4-2-3-1 (100.0%),0,1,1,100,18,10,55.56,14,6,42.86,4,4,100,12,3,3,2,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,UC San Diego Tritons,4-2-3-1 (100.0%),2,2,2,100,16,9,56.25,9,1,11.11,0,0,0,5,1,2,0,0
2023-10-05,UC San Diego Tritons - Cal State Fullerton Titans 1:4,United States. NCAA D1 Big West,22,Cal State Fullerton Titans,4-4-2 (0.0%),1,2,1,50,9,3,33.33,9,7,77.78,1,0,0,11,4,3,3,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (100.0%),0,1,1,100,21,7,33.33,9,4,44.44,2,0,0,11,5,3,2,0
2023-10-01,Sacramento State Hornets - UC San Diego Tritons 0:0,United States. NCAA D1 Big West,19,Sacramento State Hornets,4-3-1-2 (100.0%),0,1,1,100,7,4,57.14,9,5,55.56,0,0,0,5,7,3,2,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC San Diego Tritons,4-4-2 (0.0%),0,0,0,0,13,11,84.62,16,9,56.25,0,0,0,5,2,2,1,0
2023-09-28,UC San Diego Tritons - UC Santa Barbara Gauchos 3:0,United States. NCAA D1 Big West,19,UC Santa Barbara Gauchos,4-2-3-1 (0.0%),0,0,0,0,14,7,50,16,7,43.75,0,0,0,7,0,8,0,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-3-2-1 (100.0%),1,2,2,100,21,14,66.67,13,6,46.15,0,0,0,7,5,1,0,0
2023-09-21,San Diego Toreros - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,20,San Diego Toreros,3-5-2 (100.0%),0,2,2,100,19,11,57.89,13,5,38.46,0,0,0,11,7,6,1,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,UC San Diego Tritons,3-4-2-1 (100.0%),1,2,2,100,17,12,70.59,21,11,52.38,3,0,0,15,3,4,0,0
2023-09-15,Santa Clara Broncos - UC San Diego Tritons 2:2,United States. NCAA D1 Non-conference matches,25,Santa Clara Broncos,3-5-2 (100.0%),1,2,2,100,27,16,59.26,21,6,28.57,5,4,80,7,4,6,1,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,UC San Diego Tritons,5-3-2 (100.0%),0,1,1,100,10,8,80,2,0,0,0,0,0,8,2,1,0,0
2023-09-09,Denver Pioneers - UC San Diego Tritons 4:0,United States. NCAA D1 Non-conference matches,19,Denver Pioneers,4-1-3-2 (100.0%),0,0,0,0,15,7,46.67,2,1,50,0,0,0,7,2,4,0,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,UC San Diego Tritons,4-2-3-1 (100.0%),0,0,0,0,12,5,41.67,6,2,33.33,0,0,0,10,7,3,1,0
2023-09-01,UC San Diego Tritons - Gonzaga Bulldogs 1:1,United States. NCAA D1 Non-conference matches,18,Gonzaga Bulldogs,3-5-2 (100.0%),0,2,2,100,22,17,77.27,6,4,66.67,3,1,33.33,6,4,5,1,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,UC San Diego Tritons,4-1-4-1 (0.0%),0,1,1,100,13,6,46.15,5,3,60,0,0,0,12,1,3,0,0
2023-08-27,UC San Diego Tritons - San Jose State Spartans 1:2,United States. NCAA D1 Non-conference matches,20,San Jose State Spartans,4-2-3-1 (100.0%),0,0,0,0,16,5,31.25,5,2,40,2,2,100,6,2,5,1,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,UC San Diego Tritons,4-4-1-1 (0.0%),1,1,1,100,17,10,58.82,11,6,54.55,2,1,50,4,1,6,1,0
2023-08-25,UC San Diego Tritons - Pacific Tigers 1:2,United States. NCAA D1 Non-conference matches,27,Pacific Tigers,4-4-1-1 (54.03%),0,1,1,100,21,10,47.62,11,4,36.36,1,0,0,12,5,4,1,0
