Season,Date,Match,Competition,Duration,isOpponent,Team,Aerial duels,Aerial duels accuracy,Aerial duels won,Average pass length,Average passes per possession,Average shot distance,Back passes,Back passes accuracy,Back passes accurate,Back passes percentage,Clearances,Conceded goals,Corners,Corners with shots,Corners with shots percentage,Counterattacks,Counterattacks with shots,Counterattacks with shots percentage,Crosses,Crosses accurate,Crossing accuracy,Deep completed crosses,Deep completed passes,Defensive duels,Defensive duels accuracy,Defensive duels won,Difference in Goals and xG,Duels,Duels accuracy,Duels won,Forward passes,Forward passes accuracy,Forward passes accurate,Forward passes percentage,Fouls,Free kicks,Free kicks with shots,Goal differential,Goal kicks,Goals,Interceptions,Lateral passes,Lateral passes accuracy,Lateral passes accurate,Lateral passes percentage,Long pass %,Long passes,Long passes accuracy,Long passes accurate,Long passes percentage,Losses,Losses High,Losses Low,Losses Medium,Match tempo,Offensive duels,Offensive duels accuracy,Offensive duels won,Offsides,PPDA,Passes,Passes accuracy,Passes accurate,Passes to final third,Passes to final third accuracy,Passes to final third accurate,Passes to final third percentage,Penalties,Penalties converted,Penalty area entries (runs,Penalty area entries (runs crosses),Penalty conversion percentage,Positional attacks,Positional attacks with shots,Positional attacks with shots percentage,"Possession, %",Progressive passes,Progressive passes accuracy,Progressive passes accurate,Progressive passes percentage,Recoveries,Recoveries High,Recoveries Low,Recoveries Medium,Red cards,Scheme,Shots,Shots against,Shots against on target,Shots against on target accuracy,Shots from outside penalty area,Shots from outside penalty area on target,Shots from outside penalty area on target accuracy,Shots from outside penalty area on target percentage,Shots on target,Shots on target accuracy,Sliding tackle percentage,Sliding tackles,Sliding tackles successful,Smart passes,Smart passes accuracy,Smart passes accurate,Smart passes percentage,Throw in percentage,Throw ins,Throw ins accurate,Touches in penalty area,Yellow cards,xG
2021,2021-08-27,Dixie State Blazers - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,93,False,UC San Diego Tritons,45,0.4666666666666667,21,20.52,3.12,19.27,62,0.9354838709677419,58,0.21641791044776118,13,1,4,2,0.5,1,0,0.0,15,2,0.13333333333333333,2,1,95,0.7157894736842105,68,-0.36,243,0.522633744855967,127,129,0.7054263565891473,91,0.33955223880597013,15,3,0,-1,9,0,28,123,0.7560975609756098,93,0.34701492537313433,12.89,45,0.4444444444444444,20,0.07462686567164178,115,44,19,52,15.47,65,0.38461538461538464,25,0,10.64,349,0.7679083094555874,268,41,0.6341463414634146,26,0.09701492537313433,0,0,21,0,,27,4,0.14814814814814814,47.59,59,0.6271186440677966,37,0.13805970149253732,75,7,28,40,0,4-4-2 (100.0%),6,6,2,0.3333333333333333,3,0,0.0,,0,0.0,1.0,1,1,0,,0,0.0,0.8285714285714286,35,29,6,1,0.36
2021,2021-08-27,Dixie State Blazers - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,93,True,Utah Tech Trailblazers,45,0.35555555555555557,16,20.71,3.19,24.07,44,0.8863636363636364,39,0.1291390728476821,24,0,1,0,0.0,4,0,0.0,14,7,0.5,4,7,65,0.6153846153846154,40,0.35,243,0.4156378600823045,101,112,0.7053571428571429,79,0.26158940397350994,14,6,0,1,11,1,46,145,0.9103448275862069,132,0.4370860927152318,13.19,48,0.5208333333333334,25,0.08278145695364239,94,42,14,38,14.66,95,0.28421052631578947,27,0,7.45,364,0.8296703296703297,302,38,0.6052631578947368,23,0.076158940397351,0,0,21,3,,31,3,0.0967741935483871,52.41,59,0.7457627118644068,44,0.1456953642384106,76,11,30,35,0,4-3-1-2 (100.0%),6,6,1,0.16666666666666666,4,1,0.25,0.5,2,0.3333333333333333,0.5,4,2,3,0.6666666666666666,2,0.006622516556291391,0.8695652173913043,23,20,11,1,0.65
2021,2021-08-30,UNLV Rebels - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,105,False,UC San Diego Tritons,34,0.5588235294117647,19,20.88,2.9,17.64,48,0.9375,45,0.189873417721519,14,2,4,0,0.0,6,2,0.3333333333333333,6,1,0.16666666666666666,1,4,73,0.6712328767123288,49,0.48,199,0.5326633165829145,106,122,0.6557377049180327,80,0.33755274261603374,22,3,0,-1,10,1,37,91,0.8681318681318682,79,0.3333333333333333,17.05,52,0.5384615384615384,28,0.11814345991561181,105,46,19,40,14.52,59,0.4745762711864407,28,5,12.3,305,0.7770491803278688,237,38,0.5789473684210527,22,0.09282700421940929,0,0,22,4,,14,1,0.07142857142857142,38.83,56,0.5714285714285714,32,0.1350210970464135,79,10,53,16,0,4-4-2 (100.0%),5,8,4,0.5,1,1,1.0,0.5,2,0.4,0.75,4,3,4,0.25,1,0.004219409282700422,0.65,20,13,9,3,0.52
2021,2021-08-30,UNLV Rebels - UC San Diego Tritons 2:1,United States. NCAA D1 Non-conference matches,105,True,UNLV Rebels,34,0.4411764705882353,15,21.67,4.61,14.73,57,0.9649122807017544,55,0.12557077625570776,14,1,6,2,0.3333333333333333,1,1,1.0,8,4,0.5,4,5,59,0.5254237288135594,31,0.6699999999999999,199,0.4371859296482412,87,179,0.7318435754189944,131,0.2990867579908676,15,4,1,1,5,2,38,235,0.9234042553191489,217,0.4954337899543379,11.52,59,0.576271186440678,34,0.0776255707762557,118,70,13,35,15.48,73,0.3287671232876712,24,1,7.72,512,0.85546875,438,72,0.5833333333333334,42,0.0958904109589041,0,0,20,7,,18,3,0.16666666666666666,61.17,92,0.8043478260869565,74,0.1689497716894977,69,6,36,27,0,4-1-3-2 (45.78%),8,5,2,0.4,2,0,0.0,0.0,4,0.5,0.6666666666666666,3,2,4,0.25,1,0.00228310502283105,0.85,20,17,13,2,1.33
2021,2021-09-04,UC San Diego Tritons - Marymount California Mariners 6:0,United States. NCAA D1 Non-conference matches,99,True,Marymount California Mariners,35,0.22857142857142856,8,18.35,3.92,26.24,57,0.8771929824561403,50,0.136986301369863,14,6,2,0,0.0,0,0,,2,1,0.5,1,1,112,0.6160714285714286,69,-0.52,258,0.44573643410852715,115,154,0.6753246753246753,104,0.28493150684931506,25,3,0,-6,12,0,39,156,0.9166666666666666,143,0.3917808219178082,11.86,53,0.4716981132075472,25,0.0684931506849315,117,42,20,55,15.41,88,0.3068181818181818,27,0,6.24,447,0.8165548098434005,365,50,0.52,26,0.07123287671232877,0,0,13,3,,19,7,0.3684210526315789,52.81,69,0.6666666666666666,46,0.12602739726027398,72,6,26,40,0,4-2-3-1 (100.0%),9,15,12,0.8,6,4,0.6666666666666666,0.8,5,0.5555555555555556,0.6,15,9,6,0.0,0,0.0,0.96,25,24,5,4,0.52
2021,2021-09-04,UC San Diego Tritons - Marymount California Mariners 6:0,United States. NCAA D1 Non-conference matches,99,False,UC San Diego Tritons,35,0.7142857142857143,25,18.44,2.8,16.98,55,0.9272727272727272,51,0.16943521594684385,7,0,5,1,0.2,2,1,0.5,6,1,0.16666666666666666,2,7,88,0.6931818181818182,61,3.69,258,0.5426356589147286,140,133,0.7218045112781954,96,0.31893687707641194,17,6,1,6,5,6,35,128,0.8984375,115,0.38205980066445183,12.37,46,0.5652173913043478,26,0.08637873754152824,128,56,11,61,14.35,112,0.38392857142857145,43,1,9.31,372,0.8091397849462365,301,39,0.6923076923076923,27,0.08970099667774087,0,0,16,9,,27,10,0.37037037037037035,47.19,68,0.6470588235294118,44,0.1461794019933555,95,12,30,53,0,4-4-2 (100.0%),15,9,5,0.5555555555555556,4,2,0.5,0.2222222222222222,9,0.6,0.3333333333333333,3,1,0,,0,0.0,0.6956521739130435,23,16,23,2,2.31
2021,2021-09-07,Portland Pilots - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,98,True,Portland Pilots,30,0.4666666666666667,14,20.17,6.15,14.38,91,0.9340659340659341,85,0.14886164623467601,13,0,7,3,0.42857142857142855,2,0,0.0,17,3,0.17647058823529413,3,17,70,0.6571428571428571,46,-0.6799999999999999,257,0.5097276264591439,131,165,0.8303030303030303,137,0.23992994746059546,12,2,0,1,5,1,39,326,0.9171779141104295,299,0.5236427320490368,5.63,36,0.5833333333333334,21,0.03677758318739054,102,73,10,19,15.42,111,0.43243243243243246,48,0,4.63,640,0.8921875,571,98,0.8163265306122449,80,0.14010507880910683,0,0,32,6,,46,6,0.13043478260869565,71.09,97,0.9175257731958762,89,0.15586690017513136,83,16,24,43,0,4-1-4-1 (89.44%),9,4,2,0.5,3,2,0.6666666666666666,0.3333333333333333,6,0.6666666666666666,0.8571428571428571,7,6,5,0.6,3,0.005253940455341506,0.9230769230769231,13,12,23,5,1.68
2021,2021-09-07,Portland Pilots - UC San Diego Tritons 1:0,United States. NCAA D1 Non-conference matches,98,False,UC San Diego Tritons,30,0.5,15,21.17,2.77,23.09,40,0.875,35,0.1674641148325359,20,1,2,0,0.0,0,0,,7,1,0.14285714285714285,1,2,111,0.5675675675675675,63,-0.21,257,0.46303501945525294,119,100,0.68,68,0.3253588516746411,11,2,0,-1,11,0,35,97,0.845360824742268,82,0.3923444976076555,15.13,41,0.4634146341463415,19,0.09090909090909091,105,29,30,46,16.06,70,0.34285714285714286,24,1,26.47,271,0.7712177121771218,209,33,0.5454545454545454,18,0.0861244019138756,0,0,12,1,,22,4,0.18181818181818182,28.91,59,0.4745762711864407,28,0.1339712918660287,86,5,59,22,0,4-4-2 (100.0%),4,9,6,0.6666666666666666,3,1,0.3333333333333333,0.5,2,0.5,0.6,10,6,1,0.0,0,0.0,0.7894736842105263,19,15,2,0,0.21
2021,2021-09-12,UC San Diego Tritons - Santa Clara Broncos 0:1 (E),United States. NCAA D1 Non-conference matches,115,True,Santa Clara Broncos,47,0.40425531914893614,19,19.38,5.5,24.53,118,0.9152542372881356,108,0.16640986132511557,14,0,10,2,0.2,0,0,,22,6,0.2727272727272727,3,11,85,0.6352941176470588,54,0.24,253,0.43873517786561267,111,246,0.7113821138211383,175,0.2696456086286595,11,0,0,1,11,1,51,305,0.921311475409836,281,0.43297380585516176,9.8,75,0.5866666666666667,44,0.06779661016949153,145,76,12,57,16.65,99,0.32323232323232326,32,1,10.38,765,0.8483660130718954,649,100,0.66,66,0.1016949152542373,0,0,29,3,,47,9,0.19148936170212766,64.59,117,0.8461538461538461,99,0.15254237288135594,113,18,48,47,0,3-4-1-2 (100.0%),11,12,5,0.4166666666666667,7,5,0.7142857142857143,0.7142857142857143,7,0.6363636363636364,0.3333333333333333,6,2,1,0.0,0,0.0,0.7931034482758621,29,23,16,3,0.76
2021,2021-09-12,UC San Diego Tritons - Santa Clara Broncos 0:1 (E),United States. NCAA D1 Non-conference matches,115,False,UC San Diego Tritons,47,0.46808510638297873,22,20.6,2.63,20.41,52,0.8846153846153846,46,0.16312056737588654,19,1,3,1,0.3333333333333333,2,1,0.5,12,2,0.16666666666666666,3,2,99,0.6767676767676768,67,-1.2,253,0.5217391304347826,132,165,0.6484848484848484,107,0.37943262411347517,2,4,0,-1,13,0,50,104,0.7596153846153846,79,0.2801418439716312,16.93,65,0.4307692307692308,28,0.09929078014184398,130,44,20,66,15.24,85,0.36470588235294116,31,1,29.58,384,0.734375,282,51,0.43137254901960786,22,0.07801418439716312,0,0,20,2,,30,9,0.3,35.41,73,0.5342465753424658,39,0.13829787234042554,93,6,53,34,0,4-4-2 (100.0%),12,11,8,0.7272727272727273,5,4,0.8,0.8,5,0.4166666666666667,1.0,2,2,2,0.0,0,0.0,0.90625,32,29,11,0,1.2
2021,2021-09-17,San Jose State Spartans - UC San Diego Tritons 0:2,United States. NCAA D1 Non-conference matches,93,True,San Jose State Spartans,31,0.4838709677419355,15,19.16,7.72,28.71,112,0.9017857142857143,101,0.14532374100719425,7,2,3,0,0.0,0,0,,24,5,0.20833333333333334,4,1,55,0.6909090909090909,38,-0.12,193,0.5284974093264249,102,195,0.8717948717948718,170,0.2446043165467626,10,1,0,-2,5,0,40,378,0.8968253968253969,339,0.48776978417266187,4.23,33,0.7575757575757576,25,0.03597122302158273,97,58,5,34,16.73,75,0.5066666666666667,38,1,4.76,780,0.8910256410256411,695,85,0.8117647058823529,69,0.09928057553956834,0,0,29,6,,45,5,0.1111111111111111,77.16,84,0.8452380952380952,71,0.10215827338129496,70,9,25,36,0,4-1-4-1 (82.71%),6,10,3,0.3,6,1,0.16666666666666666,1.0,1,0.16666666666666666,0.25,4,1,6,0.16666666666666666,1,0.0014388489208633094,1.0,22,22,12,2,0.12
2021,2021-09-17,San Jose State Spartans - UC San Diego Tritons 0:2,United States. NCAA D1 Non-conference matches,93,False,UC San Diego Tritons,31,0.41935483870967744,13,19.18,2.35,14.51,43,0.7906976744186046,34,0.21794871794871795,19,0,3,2,0.6666666666666666,2,2,1.0,5,2,0.4,2,4,75,0.49333333333333335,37,0.07000000000000006,193,0.41450777202072536,80,98,0.5510204081632653,54,0.34615384615384615,7,3,2,2,7,2,40,64,0.734375,47,0.30128205128205127,14.58,35,0.4,14,0.08974358974358974,92,31,20,41,17.39,55,0.3090909090909091,17,3,31.89,240,0.65,156,29,0.3793103448275862,11,0.07051282051282051,0,0,11,1,,12,4,0.3333333333333333,22.84,52,0.4423076923076923,23,0.14743589743589744,67,8,31,28,0,4-4-2 (100.0%),10,6,2,0.3333333333333333,3,2,0.6666666666666666,0.6666666666666666,3,0.3,0.2,5,1,9,0.1111111111111111,1,0.00641025641025641,0.9,20,18,8,1,1.93
2021,2021-09-23,San Diego Toreros - UC San Diego Tritons 1:2,United States. NCAA D1 Non-conference matches,100,True,San Diego Toreros,35,0.4857142857142857,17,18.77,4.56,25.22,56,0.8928571428571429,50,0.1141552511415525,12,2,4,1,0.25,0,0,,14,5,0.35714285714285715,4,1,81,0.6172839506172839,50,0.77,220,0.4772727272727273,105,175,0.6571428571428571,115,0.2625570776255708,12,4,0,-1,5,1,34,211,0.943127962085308,199,0.454337899543379,12.76,68,0.36764705882352944,25,0.05707762557077625,137,71,16,50,16.51,80,0.3375,27,1,6.68,533,0.8217636022514071,438,59,0.4576271186440678,27,0.06164383561643835,0,0,20,5,,33,9,0.2727272727272727,60.46,61,0.7540983606557377,46,0.1050228310502283,84,15,32,37,0,4-2-3-1 (100.0%),11,14,7,0.5,8,1,0.125,0.5,2,0.18181818181818182,0.3333333333333333,6,2,1,0.0,0,0.0,1.0,32,32,10,3,0.23
2021,2021-09-23,San Diego Toreros - UC San Diego Tritons 1:2,United States. NCAA D1 Non-conference matches,100,False,UC San Diego Tritons,35,0.45714285714285713,16,20.61,2.61,16.54,43,0.9534883720930233,41,0.2,12,1,4,1,0.25,0,0,,8,6,0.75,5,7,80,0.6625,53,-0.1299999999999999,220,0.5,110,121,0.5454545454545454,66,0.32195121951219513,17,2,1,1,12,2,31,83,0.8072289156626506,67,0.32682926829268294,19.86,57,0.47368421052631576,27,0.13170731707317074,110,38,24,48,13.59,81,0.38271604938271603,31,3,13.29,287,0.7142857142857143,205,35,0.5142857142857142,18,0.08780487804878048,1,1,15,2,1.0,20,10,0.5,39.54,72,0.4722222222222222,34,0.16585365853658537,81,9,38,34,0,4-4-2 (95.25%),14,11,2,0.18181818181818182,5,2,0.4,0.2857142857142857,7,0.5,0.5,2,1,2,0.0,0,0.0,0.8181818181818182,22,18,15,2,2.13
2021,2021-09-30,UC San Diego Tritons - UC Davis Aggies 0:1,United States. NCAA D1 Big West,92,True,UC Davis Aggies,43,0.37209302325581395,16,21.76,3.74,20.25,57,0.9473684210526315,54,0.13636363636363635,21,0,5,1,0.2,2,1,0.5,12,5,0.4166666666666667,5,7,68,0.5882352941176471,40,-0.06000000000000005,229,0.4585152838427948,105,152,0.6842105263157895,104,0.26262626262626265,16,1,0,1,14,1,43,225,0.9111111111111111,205,0.5176767676767676,13.78,66,0.42424242424242425,28,0.0707070707070707,123,58,15,50,16.03,78,0.4358974358974359,34,0,6.47,479,0.826722338204593,396,75,0.56,42,0.10606060606060606,0,0,23,2,,29,7,0.2413793103448276,57.92,78,0.8205128205128205,64,0.16161616161616163,83,9,39,35,0,4-1-4-1 (100.0%),11,6,0,0.0,6,2,0.3333333333333333,0.5,4,0.36363636363636365,0.0,4,0,2,0.5,1,0.0025252525252525255,0.8611111111111112,36,31,16,0,1.06
2021,2021-09-30,UC San Diego Tritons - UC Davis Aggies 0:1,United States. NCAA D1 Big West,92,False,UC San Diego Tritons,43,0.5348837209302325,23,19.54,2.43,17.2,40,0.925,37,0.17370892018779344,15,1,4,1,0.25,3,0,0.0,13,2,0.15384615384615385,5,1,78,0.5641025641025641,44,-0.62,229,0.4978165938864629,114,151,0.5761589403973509,87,0.4084507042253521,11,4,2,-1,7,0,47,65,0.7384615384615385,48,0.22535211267605634,16.78,51,0.39215686274509803,20,0.09389671361502347,90,40,13,37,14.01,68,0.4117647058823529,28,3,10.63,304,0.7006578947368421,213,41,0.4878048780487805,20,0.09389671361502347,0,0,25,5,,26,3,0.11538461538461539,42.08,74,0.4594594594594595,34,0.1596244131455399,93,8,49,36,0,4-4-2 (100.0%),6,11,4,0.36363636363636365,2,0,0.0,,0,0.0,0.5,2,1,8,0.375,3,0.014084507042253521,0.8571428571428571,28,24,13,0,0.62
2021,2021-10-03,UC San Diego Tritons - Cal State Fullerton Titans 3:1,United States. NCAA D1 Big West,95,True,Cal State Fullerton Titans,54,0.5555555555555556,30,19.77,4.62,23.96,75,0.9066666666666666,68,0.14655172413793102,13,3,3,1,0.3333333333333333,2,1,0.5,23,8,0.34782608695652173,8,5,82,0.573170731707317,47,0.18000000000000005,288,0.5,144,170,0.7352941176470589,125,0.26939655172413796,12,2,0,-2,8,1,43,239,0.8619246861924686,206,0.44396551724137934,11.99,67,0.5970149253731343,40,0.08620689655172414,122,81,13,28,15.09,106,0.4811320754716981,51,2,5.37,559,0.8300536672629696,464,95,0.6105263157894737,58,0.125,0,0,31,2,,38,13,0.34210526315789475,66.65,80,0.8375,67,0.14439655172413793,101,8,36,57,0,4-3-3 (100.0%),17,13,7,0.5384615384615384,12,2,0.16666666666666666,0.4,5,0.29411764705882354,0.6,5,3,6,0.16666666666666666,1,0.0021551724137931034,0.9375,32,30,11,2,0.82
2021,2021-10-03,UC San Diego Tritons - Cal State Fullerton Titans 3:1,United States. NCAA D1 Big West,95,False,UC San Diego Tritons,54,0.3888888888888889,21,21.8,2.45,19.01,34,0.9117647058823529,31,0.13963963963963963,17,1,2,1,0.5,2,2,1.0,6,3,0.5,3,5,106,0.5188679245283019,55,1.2,288,0.4513888888888889,130,134,0.6716417910447762,90,0.40540540540540543,10,4,2,2,11,3,54,97,0.8041237113402062,78,0.35135135135135137,15.15,45,0.5333333333333333,24,0.10810810810810811,112,41,21,50,16.02,82,0.4268292682926829,35,0,15.84,297,0.7474747474747475,222,44,0.6590909090909091,29,0.13063063063063063,0,0,20,4,,20,3,0.15,33.35,73,0.5753424657534246,42,0.1891891891891892,96,7,55,34,0,4-4-2 (100.0%),13,17,5,0.29411764705882354,6,0,0.0,0.0,6,0.46153846153846156,0.42857142857142855,7,3,6,0.6666666666666666,4,0.018018018018018018,0.75,20,15,12,1,1.8
2021,2021-10-07,Cal Poly Mustangs - UC San Diego Tritons 1:0,United States. NCAA D1 Big West,93,True,Cal Poly Mustangs,46,0.3695652173913043,17,19.9,4.62,21.12,64,0.90625,58,0.12946428571428573,15,0,5,2,0.4,0,0,,9,2,0.2222222222222222,2,5,67,0.5074626865671642,34,0.38,226,0.415929203539823,94,175,0.76,133,0.296875,13,2,0,1,5,1,33,222,0.8918918918918919,198,0.4419642857142857,8.92,47,0.48936170212765956,23,0.05133928571428571,122,60,22,40,16.54,69,0.37681159420289856,26,0,8.75,527,0.8500948766603416,448,65,0.7692307692307693,50,0.11160714285714286,0,0,21,1,,39,6,0.15384615384615385,61.08,77,0.7272727272727273,56,0.125,96,11,46,39,0,4-1-4-1 (100.0%),9,7,1,0.14285714285714285,6,1,0.16666666666666666,0.5,2,0.2222222222222222,0.0,1,0,0,,0,0.0,0.75,32,24,8,1,0.62
2021,2021-10-07,Cal Poly Mustangs - UC San Diego Tritons 1:0,United States. NCAA D1 Big West,93,False,UC San Diego Tritons,46,0.5434782608695652,25,20.7,2.6,18.03,35,0.8857142857142857,31,0.14418604651162792,22,1,4,2,0.5,1,0,0.0,11,4,0.36363636363636365,4,7,69,0.6231884057971014,43,-0.72,226,0.5176991150442478,117,111,0.6396396396396397,71,0.3302325581395349,9,3,1,-1,12,0,43,88,0.8295454545454546,73,0.3395348837209302,14.34,41,0.4634146341463415,19,0.08837209302325581,111,52,20,39,14.09,67,0.4925373134328358,33,0,15.56,286,0.7517482517482518,215,47,0.6170212765957447,29,0.13488372093023257,0,0,21,4,,19,4,0.21052631578947367,38.92,53,0.660377358490566,35,0.16279069767441862,88,17,37,34,0,4-4-2 (94.91%),7,9,2,0.2222222222222222,2,0,0.0,0.0,1,0.14285714285714285,1.0,3,3,4,0.75,3,0.013953488372093023,0.6956521739130435,23,16,14,0,0.72
2021,2021-10-10,CSUN Matadors - UC San Diego Tritons 1:0,United States. NCAA D1 Big West,99,True,CSUN Matadors,66,0.5454545454545454,36,18.73,3.69,23.86,54,0.9074074074074074,49,0.1416184971098266,27,0,1,1,1.0,1,1,1.0,9,1,0.1111111111111111,1,4,90,0.5666666666666667,51,0.48,268,0.47388059701492535,127,118,0.7033898305084746,83,0.2398843930635838,17,2,0,1,7,1,35,198,0.8686868686868687,172,0.49710982658959535,6.89,29,0.5517241379310345,16,0.046242774566473986,127,55,30,42,15.28,67,0.23880597014925373,16,0,6.14,421,0.8218527315914489,346,47,0.6595744680851063,31,0.08959537572254335,0,0,13,1,,28,7,0.25,58.03,77,0.6883116883116883,53,0.1531791907514451,91,5,43,43,0,5-4-1 (100.0%),11,9,4,0.4444444444444444,8,3,0.375,0.75,4,0.36363636363636365,0.6363636363636364,11,7,1,0.0,0,0.0,0.7083333333333334,24,17,6,4,0.52
2021,2021-10-10,CSUN Matadors - UC San Diego Tritons 1:0,United States. NCAA D1 Big West,99,False,UC San Diego Tritons,66,0.45454545454545453,30,19.97,2.4,20.2,56,0.8214285714285714,46,0.2026431718061674,14,1,4,1,0.25,2,1,0.5,8,3,0.375,3,0,67,0.7611940298507462,51,-0.46,268,0.5,134,117,0.6923076923076923,81,0.3568281938325991,14,6,1,-1,9,0,35,86,0.8488372093023255,73,0.32158590308370044,13.0,39,0.5897435897435898,23,0.1013215859030837,131,59,28,44,15.05,90,0.43333333333333335,39,1,10.93,300,0.7566666666666667,227,44,0.7045454545454546,31,0.13656387665198239,0,0,10,1,,35,6,0.17142857142857143,41.97,75,0.6533333333333333,49,0.21585903083700442,81,14,33,34,0,4-4-2 (91.82%),9,11,4,0.36363636363636365,5,1,0.2,0.25,4,0.4444444444444444,1.0,1,1,0,,0,0.0,0.775,40,31,8,1,0.46
