,Team,Season,Duration,Goals,xG,Shots,Shots on target,Passes,Passes accurate,"Possession, %",Losses,Losses Low,Losses Medium,Losses High,Recoveries,Recoveries Low,Recoveries Medium,Recoveries High,Duels,Duels won,Shots from outside penalty area,Shots from outside penalty area on target,Positional attacks,Positional attacks with shots,Counterattacks,Counterattacks with shots,Set pieces,Set pieces with shots,Corners,Corners with shots,Free kicks,Free kicks with shots,Penalties,Penalties converted,Crosses,Crosses accurate,Deep completed crosses,Deep completed passes,Penalty area entries (runs,Penalty area entries (runs crosses),Touches in penalty area,Offensive duels,Offensive duels won,Offsides,Conceded goals,Shots against,Shots against on target,Defensive duels,Defensive duels won,Aerial duels,Aerial duels won,Sliding tackles,Sliding tackles successful,Interceptions,Clearances,Fouls,Yellow cards,Red cards,Forward passes,Forward passes accurate,Back passes,Back passes accurate,Lateral passes,Lateral passes accurate,Long passes,Long passes accurate,Passes to final third,Passes to final third accurate,Progressive passes,Progressive passes accurate,Throw ins,Throw ins accurate,Match tempo,Average passes per possession,Long pass %,Average shot distance,Average pass length,PPDA,Shots on target accuracy,Shots from outside penalty area on target percentage,Positional attacks with shots percentage,Shots from outside penalty area on target accuracy,Counterattacks with shots percentage,Corners with shots percentage,Penalty conversion percentage,Crossing accuracy,Offensive duels accuracy,Shots against on target accuracy,Defensive duels accuracy,Aerial duels accuracy,Sliding tackle percentage,Passes accuracy,Long passes percentage,Progressive passes percentage,Passes to final third percentage,Lateral passes percentage,Back passes percentage,Forward passes percentage,Duels accuracy,Forward passes accuracy,Back passes accuracy,Lateral passes accuracy,Long passes accuracy,Passes to final third accuracy,Progressive passes accuracy,Throw in percentage,Difference in Goals and xG,Points
0,CSU Bakersfield Roadrunners,2021,100.125,0.125,0.47,5.75,1.875,282.0,183.5,42.02875,151.0,34.25,66.75,50.0,84.125,39.625,35.125,9.375,284.25,134.875,3.375,1.25,21.625,3.5,0.875,0.375,28.875,1.75,3.625,0.875,2.125,0.25,0.0,0.0,7.125,1.125,1.25,1.625,10.75,1.5,7.0,84.75,28.375,1.625,2.5,23.375,9.625,100.625,62.625,42.5,20.625,3.75,1.125,61.0,23.125,9.25,0.75,0.125,133.875,74.125,33.625,28.75,68.75,50.375,41.75,16.0,42.125,18.25,65.625,30.25,35.875,24.375,12.9525,1.96625,14.8125,21.30375,18.72375,10.315,0.32608695652173914,0.6666666666666666,0.16184971098265896,0.37037037037037035,0.42857142857142855,0.2413793103448276,,0.15789473684210525,0.33480825958702065,0.4117647058823529,0.622360248447205,0.4852941176470588,0.3,0.650709219858156,0.08719346049046321,0.164850136239782,0.0994550408719346,0.27452316076294275,0.1566757493188011,0.4039509536784741,0.4744942832014072,0.5536881419234361,0.8550185873605948,0.7327272727272728,0.38323353293413176,0.4332344213649852,0.46095238095238095,0.6794425087108014,-2.76,7
1,CSU Bakersfield Roadrunners,2022,96.22222222222223,1.3333333333333333,1.2266666666666666,11.777777777777779,4.111111111111111,313.1111111111111,214.77777777777777,43.35333333333333,141.55555555555554,28.77777777777778,58.333333333333336,54.44444444444444,106.44444444444444,51.22222222222222,42.333333333333336,12.88888888888889,254.44444444444446,126.88888888888889,6.555555555555555,2.111111111111111,30.88888888888889,6.555555555555555,1.4444444444444444,0.4444444444444444,26.11111111111111,4.444444444444445,5.0,2.111111111111111,2.6666666666666665,0.8888888888888888,0.1111111111111111,0.1111111111111111,12.88888888888889,2.7777777777777777,3.111111111111111,2.7777777777777777,17.0,3.5555555555555554,12.88888888888889,91.44444444444444,32.55555555555556,1.1111111111111112,1.6666666666666667,15.555555555555555,6.444444444444445,96.22222222222223,63.55555555555556,31.666666666666668,15.666666666666666,3.2222222222222223,1.8888888888888888,54.888888888888886,20.22222222222222,8.666666666666666,1.2222222222222223,0.0,140.77777777777777,88.77777777777777,38.22222222222222,31.0,89.0,65.77777777777777,38.0,15.666666666666666,43.111111111111114,23.444444444444443,70.0,38.44444444444444,36.55555555555556,25.666666666666668,14.067777777777778,2.211111111111111,12.044444444444444,20.86111111111111,18.726666666666667,9.02888888888889,0.3490566037735849,0.5135135135135135,0.21223021582733814,0.3220338983050847,0.3076923076923077,0.4222222222222222,1.0,0.21551724137931033,0.3560145808019441,0.4142857142857143,0.6605080831408776,0.49473684210526314,0.5862068965517241,0.6859474804826118,0.07294361096740817,0.17899637868598034,0.10915675116399379,0.30625969994826696,0.14433523021210554,0.413347128815313,0.49868995633187774,0.6306235201262825,0.811046511627907,0.7390761548064919,0.41228070175438597,0.5438144329896907,0.5492063492063493,0.7021276595744681,0.9600000000000009,11
2,CSU Bakersfield Roadrunners,2023,97.9,1.0,0.9560000000000001,8.8,3.8,248.0,144.0,38.095,144.0,23.8,61.8,58.4,95.0,42.6,41.0,11.4,258.1,122.6,4.5,1.6,28.9,5.5,1.1,0.8,24.1,2.1,3.9,0.7,3.1,0.7,0.2,0.1,10.4,2.5,2.8,2.7,16.1,2.0,9.5,71.9,21.3,1.1,2.2,14.5,7.3,96.0,62.7,47.0,20.5,3.8,2.1,53.3,26.2,11.4,0.8,0.0,130.2,65.6,27.6,22.6,54.3,34.5,60.5,24.2,46.4,19.9,65.8,37.7,38.0,27.6,13.193999999999999,1.829,24.705,20.949,20.726,9.933,0.4318181818181818,0.42105263157894735,0.1903114186851211,0.35555555555555557,0.7272727272727273,0.1794871794871795,0.5,0.2403846153846154,0.29624478442280944,0.503448275862069,0.653125,0.43617021276595747,0.5526315789473685,0.5806451612903226,0.16805555555555557,0.26180555555555557,0.13819444444444445,0.23958333333333334,0.15694444444444444,0.45555555555555555,0.47500968616815187,0.5038402457757296,0.8188405797101449,0.6353591160220995,0.4,0.42887931034482757,0.5729483282674772,0.7263157894736842,0.4399999999999995,9
3,CSUN Matadors,2021,94.5,0.75,1.1187500000000001,10.25,3.75,328.0,223.5,43.61625,151.5,27.25,68.125,56.125,88.875,39.625,40.0,9.25,250.75,115.375,6.625,2.125,25.0,7.0,2.125,1.0,25.5,1.625,2.625,0.75,3.375,0.25,0.125,0.0,6.625,1.5,1.875,2.375,13.0,1.625,6.75,78.375,26.125,0.875,2.25,14.875,5.75,93.25,55.125,30.875,14.625,2.875,1.375,53.75,22.875,13.75,1.25,0.0,152.5,89.625,37.375,33.75,84.875,62.25,47.125,21.25,46.5,22.75,72.25,41.625,33.25,28.0,14.855,2.45625,14.6825,23.8775,17.8675,8.24375,0.36585365853658536,0.5666666666666667,0.28,0.32075471698113206,0.47058823529411764,0.2857142857142857,0.0,0.22641509433962265,0.3333333333333333,0.3865546218487395,0.5911528150134048,0.47368421052631576,0.4782608695652174,0.6814024390243902,0.09507829977628636,0.18624161073825504,0.1017897091722595,0.2785234899328859,0.15100671140939598,0.401006711409396,0.46011964107676967,0.5877049180327869,0.903010033444816,0.7334315169366715,0.4509283819628647,0.489247311827957,0.5761245674740484,0.8421052631578947,-2.950000000000001,6
4,CSUN Matadors,2022,98.18181818181819,0.8181818181818182,0.9872727272727272,12.272727272727273,4.636363636363637,329.27272727272725,230.45454545454547,46.54454545454546,137.0,25.09090909090909,54.63636363636363,57.27272727272727,89.36363636363636,43.72727272727273,34.54545454545455,11.090909090909092,232.36363636363637,110.45454545454545,7.7272727272727275,2.8181818181818183,30.454545454545453,7.818181818181818,0.9090909090909091,0.5454545454545454,29.181818181818183,2.6363636363636362,2.727272727272727,0.8181818181818182,2.909090909090909,0.36363636363636365,0.18181818181818182,0.09090909090909091,10.181818181818182,3.1818181818181817,3.272727272727273,3.727272727272727,16.90909090909091,1.9090909090909092,8.454545454545455,84.27272727272727,25.545454545454547,1.0909090909090908,2.0,17.545454545454547,6.909090909090909,96.72727272727273,63.36363636363637,23.90909090909091,9.909090909090908,2.090909090909091,1.1818181818181819,44.54545454545455,15.636363636363637,13.363636363636363,1.6363636363636365,0.09090909090909091,140.8181818181818,83.63636363636364,39.81818181818182,34.90909090909091,107.0,82.45454545454545,51.90909090909091,21.272727272727273,49.90909090909091,28.363636363636363,76.81818181818181,46.81818181818182,32.72727272727273,27.636363636363637,13.833636363636362,2.4945454545454546,15.692727272727273,22.165454545454544,20.418181818181818,9.373636363636363,0.37777777777777777,0.6078431372549019,0.25671641791044775,0.36470588235294116,0.6,0.3,0.5,0.3125,0.30312837108953616,0.39378238341968913,0.6550751879699248,0.4144486692015209,0.5652173913043478,0.6998895637769188,0.09230769230769231,0.20315581854043394,0.12307692307692308,0.35779092702169624,0.1514792899408284,0.3629191321499014,0.4753521126760563,0.5939315687540349,0.8767123287671232,0.7706032285471538,0.4098073555166375,0.5683060109289617,0.6094674556213018,0.8444444444444444,-1.8599999999999994,4
5,CSUN Matadors,2023,97.66666666666667,1.1111111111111112,1.0666666666666667,9.666666666666666,4.111111111111111,351.55555555555554,249.22222222222223,48.51444444444444,141.55555555555554,27.22222222222222,63.333333333333336,51.0,90.33333333333333,42.666666666666664,35.333333333333336,12.333333333333334,239.11111111111111,109.0,4.555555555555555,2.111111111111111,27.77777777777778,5.777777777777778,0.1111111111111111,0.1111111111111111,28.333333333333332,3.3333333333333335,3.3333333333333335,1.5555555555555556,3.6666666666666665,0.7777777777777778,0.1111111111111111,0.1111111111111111,11.444444444444445,4.555555555555555,4.222222222222222,2.3333333333333335,15.666666666666666,1.4444444444444444,10.333333333333334,69.77777777777777,19.88888888888889,1.5555555555555556,1.7777777777777777,17.555555555555557,8.444444444444445,89.44444444444444,55.888888888888886,36.111111111111114,15.0,1.4444444444444444,0.6666666666666666,48.77777777777778,18.555555555555557,9.333333333333334,0.7777777777777778,0.1111111111111111,138.0,78.88888888888889,46.44444444444444,41.55555555555556,116.0,92.55555555555556,56.333333333333336,24.0,42.77777777777778,21.444444444444443,73.88888888888889,39.77777777777778,35.55555555555556,29.22222222222222,14.527777777777779,2.667777777777778,16.642222222222223,20.976666666666667,19.407777777777778,8.726666666666667,0.42528735632183906,0.5135135135135135,0.208,0.4634146341463415,1.0,0.4666666666666667,1.0,0.39805825242718446,0.28503184713375795,0.4810126582278481,0.6248447204968944,0.4153846153846154,0.46153846153846156,0.7089127686472819,0.09629959875167186,0.15960766830138207,0.08604547481052162,0.37137761925991974,0.16674097191261703,0.31654034774855105,0.4558550185873606,0.571658615136876,0.8947368421052632,0.7978927203065134,0.4260355029585799,0.5012987012987012,0.5383458646616541,0.821875,0.40000000000000036,7
6,Cal Poly Mustangs,2021,96.08333333333333,1.8333333333333333,1.9333333333333333,16.5,7.25,475.75,354.5833333333333,54.17416666666667,156.58333333333334,22.5,59.0,75.08333333333333,105.08333333333333,41.5,47.083333333333336,16.5,270.6666666666667,125.66666666666667,6.833333333333333,2.8333333333333335,42.416666666666664,10.5,1.25,1.0,28.0,4.0,5.333333333333333,2.0833333333333335,2.75,0.3333333333333333,0.16666666666666666,0.16666666666666666,15.333333333333334,5.166666666666667,5.25,8.5,29.833333333333332,6.833333333333333,22.166666666666668,96.75,33.416666666666664,2.1666666666666665,0.9166666666666666,8.833333333333334,3.75,91.33333333333333,56.833333333333336,31.0,12.666666666666666,1.25,0.6666666666666666,53.333333333333336,19.166666666666668,9.333333333333334,0.25,0.0,196.75,131.5,61.916666666666664,55.666666666666664,146.5,115.41666666666667,60.5,29.916666666666668,75.25,43.833333333333336,103.33333333333333,70.25,38.0,32.75,16.3625,3.1475000000000004,13.163333333333334,19.216666666666665,18.641666666666666,7.229166666666667,0.4393939393939394,0.39080459770114945,0.2475442043222004,0.4146341463414634,0.8,0.390625,1.0,0.33695652173913043,0.3453919035314384,0.42452830188679247,0.6222627737226277,0.40860215053763443,0.5333333333333333,0.7453144158346471,0.08437132784958871,0.19811985898942422,0.1236192714453584,0.3254994124559342,0.15699177438307874,0.37085781433607523,0.4642857142857143,0.6683608640406608,0.8990578734858681,0.7878270762229806,0.49449035812672176,0.5825027685492802,0.6798387096774193,0.8618421052631579,-1.1999999999999993,24
7,Cal Poly Mustangs,2022,95.8,1.3,1.6190000000000002,15.4,5.4,493.2,377.6,54.934000000000005,147.1,19.1,57.0,71.0,110.8,43.7,49.3,17.8,256.2,127.7,8.6,2.2,42.1,10.3,0.4,0.3,26.9,3.6,5.9,1.7,2.9,0.5,0.2,0.2,16.7,4.5,4.5,6.7,31.2,8.1,20.3,99.9,34.8,3.2,0.7,7.1,2.4,94.4,66.8,24.6,11.4,2.4,1.5,48.5,17.0,8.0,0.6,0.0,194.8,131.1,66.1,61.0,161.8,132.7,44.7,20.0,67.9,40.7,95.7,62.4,33.6,30.6,15.887,3.428,9.190000000000001,20.455000000000002,18.271,7.9,0.35064935064935066,0.4074074074074074,0.24465558194774348,0.2558139534883721,0.75,0.288135593220339,1.0,0.2694610778443114,0.3483483483483483,0.3380281690140845,0.7076271186440678,0.4634146341463415,0.625,0.7656123276561233,0.05296610169491525,0.1652542372881356,0.10778601694915255,0.3514300847457627,0.16154661016949154,0.3471927966101695,0.49843871975019516,0.6729979466119097,0.9228441754916793,0.8201483312731768,0.44742729306487694,0.5994108983799705,0.6520376175548589,0.9107142857142857,-3.1900000000000013,21
8,Cal Poly Mustangs,2023,95.92307692307692,1.6153846153846154,1.4884615384615385,13.692307692307692,6.3076923076923075,510.0769230769231,385.0769230769231,59.99769230769231,149.6153846153846,20.384615384615383,62.38461538461539,66.84615384615384,107.3076923076923,43.15384615384615,49.0,15.153846153846153,242.76923076923077,125.0,7.3076923076923075,3.1538461538461537,41.23076923076923,10.384615384615385,0.6923076923076923,0.23076923076923078,24.692307692307693,2.5384615384615383,5.0,1.4615384615384615,1.6153846153846154,0.23076923076923078,0.07692307692307693,0.07692307692307693,15.76923076923077,4.538461538461538,5.153846153846154,6.153846153846154,27.23076923076923,5.615384615384615,18.46153846153846,88.6923076923077,33.38461538461539,2.3076923076923075,0.8461538461538461,8.461538461538462,3.3076923076923075,87.92307692307692,60.07692307692308,29.153846153846153,15.153846153846153,2.1538461538461537,0.8461538461538461,45.46153846153846,17.23076923076923,10.153846153846153,0.3076923076923077,0.0,188.92307692307693,123.92307692307692,71.38461538461539,64.53846153846153,180.69230769230768,146.3846153846154,52.76923076923077,22.46153846153846,67.92307692307692,39.84615384615385,94.76923076923077,61.23076923076923,33.38461538461539,29.76923076923077,15.71923076923077,3.583076923076923,10.446153846153846,20.035384615384615,18.85153846153846,6.966923076923076,0.4606741573033708,0.5,0.251865671641791,0.43157894736842106,0.3333333333333333,0.2923076923076923,1.0,0.28780487804878047,0.3764093668690373,0.39090909090909093,0.6832895888013998,0.5197889182058048,0.39285714285714285,0.7549389232393304,0.058330003995205756,0.15900918897323213,0.10347582900519377,0.38014382740711145,0.16759888134238912,0.32181382341190573,0.5148922686945501,0.6559446254071661,0.9040948275862069,0.8101319710515112,0.42565597667638483,0.5866364665911665,0.6461038961038961,0.8917050691244239,1.6499999999999986,19
9,Cal State Fullerton Titans,2021,95.55555555555556,1.3333333333333333,1.5822222222222222,10.777777777777779,4.0,385.3333333333333,271.22222222222223,51.21111111111111,150.88888888888889,24.88888888888889,59.111111111111114,66.88888888888889,91.88888888888889,37.666666666666664,41.111111111111114,13.11111111111111,234.77777777777777,119.0,3.6666666666666665,0.7777777777777778,39.888888888888886,7.111111111111111,1.4444444444444444,0.4444444444444444,25.555555555555557,2.4444444444444446,5.666666666666667,1.6666666666666667,1.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333,18.333333333333332,4.777777777777778,6.222222222222222,5.0,24.444444444444443,4.666666666666667,18.333333333333332,83.55555555555556,32.0,1.2222222222222223,1.0,14.11111111111111,5.666666666666667,83.44444444444444,54.666666666666664,27.77777777777778,15.11111111111111,5.333333333333333,3.5555555555555554,50.333333333333336,18.88888888888889,6.444444444444445,0.3333333333333333,0.0,154.88888888888889,89.77777777777777,47.0,41.44444444444444,129.66666666666666,103.22222222222223,56.333333333333336,22.22222222222222,57.666666666666664,33.0,85.88888888888889,52.77777777777778,34.77777777777778,28.444444444444443,14.184444444444445,2.714444444444444,14.690000000000001,17.452222222222222,20.27777777777778,9.152222222222223,0.3711340206185567,0.19444444444444445,0.17827298050139276,0.21212121212121213,0.3076923076923077,0.29411764705882354,0.75,0.2606060606060606,0.3829787234042553,0.4015748031496063,0.6551264980026631,0.544,0.6666666666666666,0.7038638985005767,0.0819336337566571,0.19459238017206062,0.1216714461286358,0.3805817287996723,0.1528062269561655,0.3310118803768947,0.5068622811168955,0.5796269727403156,0.8817966903073287,0.7960582690659811,0.39447731755424065,0.5722543352601156,0.6144890038809832,0.8178913738019169,-2.24,21
10,Cal State Fullerton Titans,2022,98.0,1.5454545454545454,1.5572727272727271,14.545454545454545,6.0,354.27272727272725,250.1818181818182,50.25,141.27272727272728,20.09090909090909,53.09090909090909,68.0909090909091,93.72727272727273,36.63636363636363,41.0,16.09090909090909,235.72727272727272,107.36363636363636,7.545454545454546,2.727272727272727,43.54545454545455,9.727272727272727,0.6363636363636364,0.45454545454545453,27.09090909090909,3.5454545454545454,7.363636363636363,2.3636363636363638,2.3636363636363638,0.45454545454545453,0.2727272727272727,0.18181818181818182,19.363636363636363,5.181818181818182,5.454545454545454,4.363636363636363,23.272727272727273,5.090909090909091,18.272727272727273,96.9090909090909,33.63636363636363,1.5454545454545454,0.9090909090909091,12.727272727272727,5.363636363636363,77.0,47.27272727272727,24.818181818181817,11.818181818181818,2.909090909090909,1.8181818181818181,48.36363636363637,14.545454545454545,11.181818181818182,0.7272727272727273,0.0,147.45454545454547,85.0,44.54545454545455,40.18181818181818,114.54545454545455,93.9090909090909,47.72727272727273,18.727272727272727,54.18181818181818,29.272727272727273,76.36363636363636,45.72727272727273,41.0,32.63636363636363,13.719090909090909,2.4872727272727273,13.682727272727272,19.76090909090909,20.48090909090909,6.951818181818182,0.4125,0.45454545454545453,0.22338204592901878,0.3614457831325301,0.7142857142857143,0.32098765432098764,0.6666666666666666,0.2676056338028169,0.34709193245778613,0.42142857142857143,0.6139315230224321,0.47619047619047616,0.625,0.7061842442904799,0.07485465116279069,0.18277616279069767,0.11700581395348837,0.37536337209302323,0.16061046511627908,0.3397529069767442,0.4554569996143463,0.5764488286066585,0.9020408163265307,0.8198412698412698,0.3923809523809524,0.540268456375839,0.5988095238095238,0.7960088691796009,-0.129999999999999,20
11,Cal State Fullerton Titans,2023,96.54545454545455,1.5454545454545454,1.5454545454545454,13.545454545454545,5.545454545454546,321.0,218.72727272727272,46.03272727272727,137.0,22.818181818181817,54.45454545454545,59.72727272727273,96.18181818181819,38.54545454545455,41.27272727272727,16.363636363636363,242.9090909090909,121.0,6.2727272727272725,1.9090909090909092,39.09090909090909,8.909090909090908,0.7272727272727273,0.5454545454545454,24.454545454545453,3.3636363636363638,6.545454545454546,2.272727272727273,2.090909090909091,0.2727272727272727,0.18181818181818182,0.18181818181818182,19.181818181818183,3.6363636363636362,3.5454545454545454,5.636363636363637,24.454545454545453,5.7272727272727275,17.545454545454547,98.0,35.54545454545455,2.0,0.7272727272727273,11.181818181818182,4.818181818181818,80.27272727272727,53.63636363636363,28.818181818181817,15.636363636363637,3.1818181818181817,2.0,47.27272727272727,19.181818181818183,10.363636363636363,0.8181818181818182,0.0,132.9090909090909,79.81818181818181,32.0,26.636363636363637,103.63636363636364,78.36363636363636,40.81818181818182,17.363636363636363,46.36363636363637,24.363636363636363,70.63636363636364,40.72727272727273,36.18181818181818,26.727272727272727,13.768181818181818,2.2945454545454544,13.317272727272728,19.54,20.253636363636364,9.432727272727272,0.40939597315436244,0.3442622950819672,0.22790697674418606,0.30434782608695654,0.75,0.3472222222222222,1.0,0.1895734597156398,0.362708719851577,0.43089430894308944,0.6681766704416761,0.5425867507886435,0.6285714285714286,0.6813933729821581,0.07938487115544472,0.1862011637572735,0.1113881961762261,0.35827098919368244,0.12177888611803823,0.3649210307564422,0.4981287425149701,0.600547195622435,0.8323863636363636,0.756140350877193,0.42538975501113585,0.5254901960784314,0.5765765765765766,0.7386934673366834,0.0,21
12,Long Beach State University,2021,96.77777777777777,1.2222222222222223,1.4166666666666667,11.88888888888889,4.555555555555555,450.1111111111111,335.0,56.37,147.33333333333334,23.88888888888889,57.44444444444444,66.0,99.88888888888889,43.111111111111114,43.0,13.777777777777779,261.44444444444446,125.33333333333333,4.777777777777778,1.6666666666666667,41.666666666666664,8.444444444444445,2.7777777777777777,0.5555555555555556,24.444444444444443,2.7777777777777777,6.111111111111111,1.4444444444444444,1.6666666666666667,0.6666666666666666,0.0,0.0,19.0,4.666666666666667,4.777777777777778,7.333333333333333,29.333333333333332,5.888888888888889,18.666666666666668,96.33333333333333,34.111111111111114,2.4444444444444446,0.7777777777777778,11.333333333333334,4.555555555555555,84.44444444444444,54.888888888888886,29.333333333333332,15.0,4.777777777777778,2.5555555555555554,56.77777777777778,16.666666666666668,10.444444444444445,0.6666666666666666,0.0,179.44444444444446,114.77777777777777,57.0,51.22222222222222,152.66666666666666,125.55555555555556,58.77777777777778,25.11111111111111,67.77777777777777,42.44444444444444,98.55555555555556,66.33333333333333,33.888888888888886,29.22222222222222,14.795555555555556,3.086666666666667,13.270000000000001,17.950000000000003,19.83555555555556,6.412222222222223,0.38317757009345793,0.36585365853658536,0.20266666666666666,0.3488372093023256,0.2,0.23636363636363636,,0.24561403508771928,0.35409457900807384,0.4019607843137255,0.65,0.5113636363636364,0.5348837209302325,0.7442606763762034,0.07495854063018242,0.19800995024875623,0.12669983416252073,0.3747927031509121,0.15290215588723052,0.34262023217247095,0.4793880152996175,0.6396284829721363,0.898635477582846,0.8224163027656477,0.42722117202268434,0.6262295081967213,0.673055242390079,0.8622950819672132,-1.75,19
13,Long Beach State University,2022,98.75,1.9166666666666667,2.0166666666666666,15.666666666666666,6.5,370.75,266.5,50.2425,145.08333333333334,24.583333333333332,55.75,64.75,104.83333333333333,42.416666666666664,46.25,16.166666666666668,278.6666666666667,135.41666666666666,6.083333333333333,1.75,41.666666666666664,11.333333333333334,0.75,0.4166666666666667,27.0,3.5833333333333335,5.666666666666667,2.0833333333333335,3.3333333333333335,0.75,0.16666666666666666,0.16666666666666666,15.416666666666666,4.5,5.5,6.0,25.666666666666668,6.416666666666667,20.083333333333332,104.83333333333333,36.166666666666664,1.75,1.1666666666666667,13.416666666666666,5.5,104.75,69.0,34.666666666666664,15.5,3.5,1.75,49.833333333333336,20.916666666666668,11.5,0.8333333333333334,0.0,147.66666666666666,88.33333333333333,52.833333333333336,46.916666666666664,113.5,90.25,58.583333333333336,23.75,56.75,32.25,81.08333333333333,50.75,31.666666666666668,24.333333333333332,14.414166666666667,2.6058333333333334,15.847500000000002,18.356666666666666,19.591666666666665,6.5275,0.4148936170212766,0.2692307692307692,0.272,0.2876712328767123,0.5555555555555556,0.36764705882352944,1.0,0.2918918918918919,0.3449920508744038,0.40993788819875776,0.6587112171837709,0.44711538461538464,0.5,0.7188132164531356,0.08911819887429644,0.1904315196998124,0.12101313320825516,0.33864915572232646,0.1760475297060663,0.3314571607254534,0.485944976076555,0.5981941309255079,0.88801261829653,0.7951541850220264,0.40540540540540543,0.5682819383259912,0.6258992805755396,0.7684210526315789,-1.1999999999999993,18
